정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
상당,22640,115,윗사정삼거리 - 오월드기점지,2023-04,일반인,0,0,0,0,4,0,10,0,12,0,20,0,13,0,8,0,8,0,11,0,9,0,16,0,6,0,16,4,11,2,3,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
상당,22640,115,윗사정삼거리 - 오월드기점지,2023-04,청소년,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
상당,22640,115,윗사정삼거리 - 오월드기점지,2023-04,경로,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
상당,22640,30,낭월공영차고지기점 - 낭월공영차고지,2023-04,일반인,0,0,0,0,0,0,2,0,0,0,1,5,0,0,0,1,0,0,4,0,0,0,2,1,0,0,1,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
상당,22640,30,낭월공영차고지기점 - 낭월공영차고지,2023-04,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
상당,22640,301,봉산동기점 - 봉산동기점,2023-04,일반인,0,0,0,0,4,0,11,0,13,0,13,0,18,2,17,1,14,0,25,2,6,0,8,0,6,0,27,1,31,0,7,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
상당,22640,301,봉산동기점 - 봉산동기점,2023-04,어린이,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
상당,22640,301,봉산동기점 - 봉산동기점,2023-04,청소년,0,0,0,0,0,0,43,0,4,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
상당,22640,301,봉산동기점 - 봉산동기점,2023-04,경로,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
상당,22640,31,서남부터미널기점 - 서남부터미널종점,2023-04,일반인,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
상당,22640,311,신대차고지 - 신대차고지,2023-04,일반인,0,0,1,0,31,0,64,0,87,0,23,0,30,1,14,0,17,0,22,1,27,2,21,0,29,0,17,2,25,0,3,0,12,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,
상당,22640,311,신대차고지 - 신대차고지,2023-04,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
상당,22640,311,신대차고지 - 신대차고지,2023-04,청소년,0,0,0,0,0,0,10,0,5,0,4,0,4,0,1,0,0,0,6,0,0,0,2,0,2,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
상당,22640,311,신대차고지 - 신대차고지,2023-04,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
상당,22640,311,신대차고지 - 신대차고지,2023-04,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
상당,22640,314,윗사정삼거리 - 오월드기점지,2023-04,일반인,0,0,0,0,0,0,3,0,2,0,3,0,2,0,2,1,3,1,9,0,6,1,5,0,8,0,21,2,1,0,8,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,
상당,22640,314,윗사정삼거리 - 오월드기점지,2023-04,청소년,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,3,0,0,0,1,0,1,2,7,0,1,0,0,0,9,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
상당,22640,314,윗사정삼거리 - 오월드기점지,2023-04,경로,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
