정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
산성도서관,22590,115,윗사정삼거리 - 오월드기점지,2023-04,일반인,0,0,0,0,0,48,0,30,5,104,0,106,0,54,3,29,7,33,2,32,0,34,3,26,1,44,3,41,0,44,0,25,0,25,0,14,0,35,0,25,0,0,0,0,0,0,0,0,
산성도서관,22590,115,윗사정삼거리 - 오월드기점지,2023-04,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,15,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22590,115,윗사정삼거리 - 오월드기점지,2023-04,청소년,0,0,0,0,0,1,0,0,0,2,0,2,0,2,0,3,0,1,0,1,0,3,0,0,0,5,0,4,0,1,0,2,0,1,0,1,0,9,0,0,0,0,0,0,0,0,0,0,
산성도서관,22590,115,윗사정삼거리 - 오월드기점지,2023-04,경로,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,1,0,2,0,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22590,115,윗사정삼거리 - 오월드기점지,2023-04,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22590,115,윗사정삼거리 - 오월드기점지,2023-04,국가유공자,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22590,30,낭월공영차고지기점 - 낭월공영차고지,2023-04,일반인,0,0,0,0,0,0,0,0,0,0,15,7,0,0,14,0,1,0,4,2,6,0,0,1,2,2,0,3,0,5,0,1,2,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22590,30,낭월공영차고지기점 - 낭월공영차고지,2023-04,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22590,30,낭월공영차고지기점 - 낭월공영차고지,2023-04,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22590,30,낭월공영차고지기점 - 낭월공영차고지,2023-04,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22590,301,봉산동기점 - 봉산동기점,2023-04,일반인,0,0,0,0,0,2,0,31,8,68,2,33,0,32,1,33,2,25,5,22,2,34,0,36,0,27,0,41,2,46,0,38,0,18,0,47,0,19,0,3,0,0,0,0,0,0,0,0,
산성도서관,22590,301,봉산동기점 - 봉산동기점,2023-04,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,1,0,0,0,3,0,8,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22590,301,봉산동기점 - 봉산동기점,2023-04,청소년,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,2,0,1,0,6,0,21,0,3,0,5,0,11,0,2,0,4,0,8,0,0,0,0,0,0,0,0,0,0,
산성도서관,22590,301,봉산동기점 - 봉산동기점,2023-04,경로,0,0,0,0,0,2,0,2,0,0,0,1,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22590,301,봉산동기점 - 봉산동기점,2023-04,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
