정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
산성도서관,22590,115,윗사정삼거리 - 오월드기점지,2023-01,일반인,0,0,0,0,0,77,0,39,2,89,1,82,1,24,0,21,0,31,0,30,0,40,0,36,0,37,0,30,0,26,0,12,0,13,0,16,0,4,0,24,0,0,0,0,0,0,0,0,
산성도서관,22590,115,윗사정삼거리 - 오월드기점지,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22590,115,윗사정삼거리 - 오월드기점지,2023-01,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,3,0,1,0,1,0,1,0,0,0,2,0,4,0,5,0,6,0,0,0,0,0,0,0,0,
산성도서관,22590,115,윗사정삼거리 - 오월드기점지,2023-01,경로,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,2,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22590,115,윗사정삼거리 - 오월드기점지,2023-01,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,2,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22590,115,윗사정삼거리 - 오월드기점지,2023-01,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22590,30,낭월공영차고지기점 - 낭월공영차고지,2023-01,일반인,0,0,0,0,1,0,1,0,0,0,3,0,0,0,14,2,0,0,2,3,1,2,2,1,1,2,1,2,12,4,6,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22590,30,낭월공영차고지기점 - 낭월공영차고지,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22590,30,낭월공영차고지기점 - 낭월공영차고지,2023-01,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22590,301,봉산동기점 - 봉산동기점,2023-01,일반인,0,0,0,0,0,0,0,29,9,88,0,38,2,54,1,38,1,36,0,25,2,34,0,30,0,33,1,24,0,39,0,34,0,32,1,40,0,17,0,2,0,0,0,0,0,0,0,0,
산성도서관,22590,301,봉산동기점 - 봉산동기점,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,2,0,1,0,1,0,9,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
산성도서관,22590,301,봉산동기점 - 봉산동기점,2023-01,청소년,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,8,0,4,0,1,0,1,0,2,0,6,0,14,0,14,0,3,0,11,0,9,0,3,0,1,0,0,0,0,0,0,0,0,
